min_row,min_col,max_row,max_col
247,84,254,93
245,99,253,108
241,153,247,161
234,170,240,178
232,38,242,51
226,179,240,190
223,231,228,236
213,4,232,30
211,189,223,200
210,129,223,152
210,48,220,57
209,179,216,190
208,203,217,215
196,144,205,160
189,52,201,66
175,197,182,208
166,112,180,124
156,14,188,28
145,183,155,194
132,69,138,77
131,208,142,219
123,15,133,24
118,43,129,52
102,149,114,157
85,103,103,117
79,117,91,141
63,161,81,176
59,233,69,241
55,226,61,231
48,213,58,224
47,144,66,159
36,113,52,127
34,207,49,220
14,245,30,254
4,67,16,76
