min_row,min_col,max_row,max_col
250,246,255,253
247,203,255,213
243,217,256,229
239,63,248,70
236,113,252,133
232,229,248,245
217,73,231,96
213,221,232,239
210,12,216,20
199,210,212,221
199,24,211,40
189,124,216,146
189,35,198,47
168,38,177,45
158,7,174,22
148,126,165,138
146,250,151,255
138,25,156,42
135,165,150,183
133,134,148,148
128,195,142,216
123,223,140,246
117,186,133,205
115,45,122,50
110,70,120,81
105,199,115,208
103,94,119,111
93,127,99,134
93,49,117,62
87,160,107,175
83,96,98,120
77,45,90,51
76,126,89,141
47,241,62,255
47,32,58,46
35,16,50,31
23,58,39,69
20,233,27,243
19,5,31,17
16,161,31,179
15,87,22,95
9,140,22,161
2,85,7,90
2,76,8,80
