min_row,min_col,max_row,max_col
249,169,255,175
246,175,251,182
243,83,247,89
228,236,249,253
224,219,242,236
224,23,239,44
221,86,241,105
212,151,233,166
201,202,216,216
200,137,213,150
200,40,207,52
190,33,201,46
189,212,198,229
180,52,195,72
179,188,198,202
174,232,194,244
169,152,186,172
155,135,167,150
145,196,160,210
143,209,174,233
134,156,152,185
122,198,129,204
121,221,141,233
121,178,139,198
108,167,120,180
105,112,127,130
85,218,97,235
83,243,94,255
78,62,92,86
74,175,84,185
65,98,77,112
63,116,77,134
62,240,68,250
60,17,75,32
57,137,67,147
55,158,72,178
53,212,63,229
50,173,64,196
29,124,41,138
22,52,41,74
14,8,32,20
8,111,28,126
3,113,9,117
2,12,11,19
1,214,14,229
