min_row,min_col,max_row,max_col,pos_x,pos_y,neg_x,neg_y
203,57,212,68,62,207,57,204
198,69,206,81,73,202,69,198
188,109,196,119,114,191,109,188
173,49,186,64,59,180,49,174
170,17,179,32,27,173,17,170
169,184,183,200,190,175,184,169
164,39,172,47,44,168,39,164
134,104,151,123,108,137,104,135
129,122,145,136,129,136,122,130
118,153,134,167,159,123,153,119
118,110,126,119,113,122,110,121
97,27,108,38,32,102,27,98
84,49,101,77,56,86,49,85
67,81,80,94,86,73,81,68
47,126,61,142,132,57,126,48
42,194,68,208,200,47,194,42
39,68,51,81,73,43,68,39
29,15,44,34,26,33,15,30
17,146,28,161,156,24,146,18
14,165,22,172,168,17,165,17
