min_row,min_col,max_row,max_col,pos_x,pos_y,neg_x,neg_y
252,34,255,40,38,254,34,257
248,232,253,242,239,249,232,248
245,193,250,201,197,247,193,245
244,244,253,254,249,250,244,244
240,176,248,192,178,243,176,240
240,80,255,95,86,246,80,240
232,115,254,140,122,244,115,232
230,216,246,228,221,239,216,235
228,246,240,255,249,235,246,228
226,84,236,95,90,229,84,227
225,214,232,223,216,228,214,226
223,35,242,66,41,226,35,224
216,2,224,11,8,221,2,217
211,158,231,173,166,215,158,212
199,224,215,239,230,207,224,200
196,17,212,32,26,204,17,196
194,50,209,66,57,201,50,195
188,140,201,155,147,193,140,189
187,198,203,222,202,195,198,187
184,108,197,122,113,187,108,185
182,155,193,164,160,187,155,183
179,222,192,233,226,184,222,180
179,174,195,190,181,184,174,180
177,135,186,146,139,179,135,177
174,188,185,203,194,178,188,175
174,116,184,126,121,178,116,174
171,74,183,96,88,179,74,171
159,196,169,210,205,162,196,160
159,133,170,146,139,165,133,159
155,164,173,182,172,165,164,155
154,39,160,46,42,156,39,154
150,114,160,123,117,157,114,151
140,195,158,209,202,152,195,141
138,228,155,241,234,148,228,139
137,212,147,221,215,144,212,138
136,176,152,196,186,140,176,137
132,12,159,30,23,148,12,132
128,204,138,214,207,131,204,128
123,88,135,101,94,127,88,124
118,212,129,218,214,124,212,118
115,140,125,150,145,119,140,116
106,100,119,108,104,113,100,106
104,58,119,76,72,112,58,105
94,203,112,217,211,105,203,96
90,189,97,200,190,92,189,90
88,147,97,161,151,93,147,88
88,100,106,129,108,93,100,88
80,168,100,182,176,89,168,81
72,122,85,135,128,77,122,72
65,73,82,89,79,74,73,65
52,89,66,108,101,61,89,59
47,80,58,88,83,50,80,48
41,178,49,186,182,44,178,42
28,83,36,92,88,31,83,28
20,27,38,48,35,33,27,21
16,151,28,165,158,22,151,17
7,167,33,186,181,10,167,8
4,158,12,165,161,8,158,4
