min_row,min_col,max_row,max_col,pos_x,pos_y,neg_x,neg_y
235,117,246,132,126,241,117,236
231,19,249,38,24,243,19,232
216,160,231,174,166,220,160,217
215,83,235,100,91,228,83,216
211,225,228,243,232,218,225,212
192,192,213,207,196,208,192,192
183,152,196,166,157,188,152,183
173,216,193,251,233,177,216,173
164,67,182,84,76,172,67,165
162,87,179,104,99,172,87,163
142,238,147,243,240,144,238,146
128,138,144,166,148,131,138,129
124,106,141,130,126,136,106,124
124,92,152,108,105,148,92,127
114,193,124,208,203,118,193,114
108,83,118,95,87,114,83,108
107,170,124,192,177,113,170,107
100,90,118,105,101,109,90,101
91,146,107,170,164,102,146,92
